Group,Subject,Raters,Var1,Var2,Var2
1,1,R1,1,1,5
1,1,R2,1,4,5
1,1,R3,2,2,5
1,2,R1,3,1,5
1,2,R2,3,1,1
1,2,R3,2,1,1
1,3,R1,1,4,1
1,3,R2,2,4,4
1,3,R3,1,4,4
1,4,R1,3,4,4
1,4,R2,3,3,4
1,4,R3,2,3,4
1,5,R1,0,3,3
1,5,R2,2,3,3
1,5,R3,2,3,3
1,6,R1,1,2,3
1,6,R2,1,2,2
1,6,R3,1,2,3
1,7,R1,1,2,1
1,7,R2,1,2,2
1,7,R3,1,1,1
1,8,R1,2,2,2
1,8,R2,1,3,2
1,8,R3,3,4,2
1,9,R1,3,3,5
1,9,R2,3,4,1
1,9,R3,3,4,1
1,10,R1,1,4,4
1,10,R2,1,2,4
1,10,R3,1,2,5
2,1,R1,1,1,5
2,1,R2,1,4,5
2,1,R3,2,2,5
2,2,R1,3,1,4
2,2,R2,3,1,1
2,2,R3,2,1,1
2,3,R1,3,4,4
2,3,R2,2,4,4
2,3,R3,3,4,4
2,4,R1,3,4,4
2,4,R2,2,3,4
2,4,R3,2,3,4
2,5,R1,0,3,3
2,5,R2,2,3,3
2,5,R3,2,3,3
2,6,R1,1,2,3
2,6,R2,1,2,2
2,6,R3,1,2,3
2,7,R1,1,3,1
2,7,R2,1,2,2
2,7,R3,1,1,1
2,8,R1,2,2,2
2,8,R2,1,3,2
2,8,R3,3,3,2
